"Año";"Periodo";"Mujeres";"Hombres"
"1990";"Año";"75.349.784";"77.661.689"
"1995";"Año";"79.630.779";"81.686.116"
"2000";"Año";"85.559.220";"88.029.221"
"2005";"Año";"93.754.736";"97.860.838"
"2010";"Año";"106.720.229";"114.061.680"
"2015";"Año";"119.997.907";"128.863.389"
"2019";"Año";"130.154.101";"141.488.004"
;;;
;;;
"Métrica":"Mujeres"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Migrantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Hombres"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Migrantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-poblacion-migrada-sexos/c889e6f4-4225-4afd-a1e7-165513840338"
"Titulo":"Evolución de la población migrada en el mundo por sexos"
"Subtitulo":""
