"Año";"Periodo";"África";"Asia";"Europa";"Latinoamérica";"Norteamérica";"Oceanía"
"1990";"Año";"15.689.666";"48.209.949";"49.608.231";"7.161.371";"27.610.408";"4.731.848"
"1995";"Año";"16.357.077";"46.418.044";"53.489.829";"6.688.710";"33.340.948";"5.022.287"
"2000";"Año";"15.051.677";"49.394.322";"56.858.788";"6.570.729";"40.351.694";"5.361.231"
"2005";"Año";"15.969.835";"53.439.306";"63.594.822";"7.224.942";"45.363.257";"6.023.412"
"2010";"Año";"17.804.198";"65.938.712";"70.678.025";"8.262.433";"50.970.861";"7.127.680"
"2015";"Año";"23.476.251";"77.231.760";"75.008.219";"9.441.679";"55.633.443";"8.069.944"
"2019";"Año";"26.529.334";"83.559.197";"82.304.539";"11.673.288";"58.647.822";"8.927.925"
;;;;;;;
;;;;;;;
"Métrica":"África"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Asia"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Europa"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Latinoamérica"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Norteamérica"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Oceanía"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Url":"https://www.epdata.es/evolucion-poblacion-migrada-continente/ac80a8d4-4601-45ac-9992-bb2c41341114"
"Titulo":"Evolución de la población migrada residiendo en cada continente"
"Subtitulo":""
